user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,sentiments,clean_text
Acute_Hospital_MD,Ireland,University Hospital Consultant.   Clinical Lecturer. Irish 🇮🇪.,2012-12-04 09:30:06,5696,3667,32465,False,2020-08-11 09:20:04,"🦠20 million case of #COVID19 cases worldwide. 

🦠New cases in Ireland on the increase of the past week.

🦠People st… https://t.co/rXdMMYLgFQ",['COVID19'],Twitter for iPhone,False,positive,"['million', 'case', 'covid', 'case', 'worldwide', 'new', 'case', 'ireland', 'increase', 'past', 'week', 'people', 'st']"
الشارقة24,دولة الإمارات العربية المتحدة,"الشارقة 24 هو موقع إلكتروني إخباري تابع لحكومة إمارة الشارقة. 
Sharjah 24 is a 24 hour digital news website for the UAE Emirate of Sharjah",2014-11-11 06:44:55,32303,317,12,True,2020-08-17 05:44:47,"#China grants country's first #COVID19 vaccine patent to CanSino https://t.co/ritlHLjsN5
#Sharjah24 https://t.co/IVRMjZlGHG","['China', 'COVID19', 'Sharjah24']",Twitter Web App,False,positive,"['china', 'grant', 'country', 'first', 'covid', 'vaccine', 'patent', 'cansino', 'sharjah']"
J Wood,,Locked out of main account regularly getting suspended for challenging politicians LIES,2020-05-26 06:56:14,148,348,4842,False,2020-08-01 16:19:46,"@RishiSunak @Keir_Starmer give #50swomen our Pensions NOW

PROTECT us from #coronavirus #COVID19  

Give jobs to YO… https://t.co/lOhAHIff9X","['50swomen', 'coronavirus', 'COVID19']",Twitter Web App,False,positive,"['rishisunak', 'keir', 'starmer', 'give', 'swomen', 'pension', 'protect', 'us', 'coronavirus', 'covid', 'give', 'job', 'yo']"
Afzal Bhuiyan,Bangladesh,,2013-06-06 11:06:02,91,85,20,False,2020-07-25 09:22:35,"As long as #COVID19 is circulating, we are all at risk. That’s why we’re asking everyone to treat the decisions abo… https://t.co/Qvg5PWz4Ji",['COVID19'],Twitter for Android,False,positive,"['long', 'covid', 'circulate', 'risk', 'thats', 'ask', 'everyone', 'treat', 'decisions', 'abo']"
Angela Leung,Hong Kong,"Associate Professor, School of Nursing, The Hong Kong Polytechnic University, Hong Kong;
Director, Centre for Gerontological Nursing (CGN), PolyU",2016-11-16 14:38:19,114,106,78,False,2020-08-22 08:15:46,"We try our best to support the frontline workers in residential care homes in Hong Kong, who are facing lots of str… https://t.co/FZG8GG960i",,Twitter for iPhone,False,positive,"['try', 'best', 'support', 'frontline', 'workers', 'residential', 'care', 'home', 'hong', 'kong', 'face', 'lot', 'str']"
DawnaSchmit,"Cedar Rapids, IA",,2013-11-25 17:31:49,38,110,165,False,2020-08-10 16:15:20,Check out this exclusive access report from #Gartner on How #Technology Providers Can Build Trust Through Offers to… https://t.co/mKnILaBZeU,"['Gartner', 'Technology']",EveryoneSocial,False,positive,"['check', 'exclusive', 'access', 'report', 'gartner', 'technology', 'providers', 'build', 'trust', 'offer']"
DT Next,"Chennai, India",English language newspaper by the Daily Thanthi Group,2015-10-23 12:33:47,6277,416,144,True,2020-08-22 02:40:26,"Officials at #Tirupattur are in a bind after a Revenue official, who took part in the welcome accorded to Chief Min… https://t.co/k4kvdDOc75",['Tirupattur'],Twitter Web App,False,positive,"['officials', 'tirupattur', 'bind', 'revenue', 'official', 'take', 'part', 'welcome', 'accord', 'chief', 'min']"
Achieve Robomation,,"Automation + Robomation.
Group of experienced engineers working towards an automated tomorrow. Redefine your production with Achieve today.",2020-03-06 14:27:59,9,0,2,False,2020-08-11 07:18:13,"Achieve Robomation Wishes you a Happy Janmashtami.

#Janmashtami2020 #janmashtami #automation #robots #covid19… https://t.co/PWIOhp6jMx","['Janmashtami2020', 'janmashtami', 'automation', 'robots', 'covid19']",Twitter for Android,False,positive,"['achieve', 'robomation', 'wish', 'happy', 'janmashtami', 'janmashtami', 'janmashtami', 'automation', 'robots', 'covid']"
UbequityCoach,"Johannesburg, South Africa",CUSTOMIZED BUSINESS GROWTH SOLUTIONS: * Generate More Leads * Increase Conversion Rates * Compel More Frequent Transactions * Command Higher Prices *,2009-03-17 11:01:11,27511,34966,187,False,2020-08-09 07:54:17,AdriaanG_LP: Fascinating stories from CEO’s on leading during #COVID19 - In this short extract the Afrox Leader ans… https://t.co/lSQLazzMun,['COVID19'],IFTTT,False,positive,"['adriaang', 'lp', 'fascinate', 'stories', 'ceos', 'lead', 'covid', 'short', 'extract', 'afrox', 'leader', 'ans']"
CoronaTracker,New York,"An easy-to-use, open-source web app for monitoring your health and staying informed during the #COVID19 crisis. Beta test here: https://t.co/JsKneJcCwl",2020-03-25 00:04:50,39,73,90,False,2020-08-18 18:12:57,We’re thrilled to be joining @MongoDB for this week’s #livestream to discuss how we scaled CoronaTracker to help du… https://t.co/3Gyuo62Ltl,['livestream'],Twitter for iPhone,False,positive,"['thrill', 'join', 'mongodb', 'weeks', 'livestream', 'discuss', 'scale', 'coronatracker', 'help', 'du']"
NHS B'ham & Solihull CCG,"Birmingham, England","NHS Birmingham and Solihull CCG became the largest CCG in England on 1 April 2018. We commission health services for 1.3m people. Open 9-am-5pm, Mon-Fri.",2009-03-03 14:53:03,12033,3132,2493,True,2020-08-17 08:03:02,"Do you want to help with a national study to detect #coronavirus involving very cute dogs?

Researchers are investi… https://t.co/ksyxiVS5tv",['coronavirus'],Sprout Social,False,positive,"['want', 'help', 'national', 'study', 'detect', 'coronavirus', 'involve', 'cute', 'dog', 'researchers', 'investi']"
